ID,X,Y,A,B,theta,total_flux,mu_max,mu_median,mu_mean,R_fwhm,R_e,R10,R90,x_start,x_end,y_start,y_end,area,greylevel
681,739.5,877.6153846153846,1.3373337423759855,1.2733034890000536,-6.964314824375503e-10,26.0,2.0,1.0,0.7878787878787878,2.6462837142006137,1.5957691216057308,0.5641895835477563,2.4592453796829674,736,743,874,879,33,5.787878787878788
682,211.02139037433156,869.9465240641712,3.290562485969031,2.08326769683244,-1.3968653592012672,374.0,6.0,3.0,3.280701754385965,4.950743503369154,3.431831258788849,1.381976597885342,5.170882945826411,206,216,864,878,114,7.280701754385965
683,569.1836633663366,888.6509900990098,16.062257908788492,6.2800023677064125,1.2809970024951376,2020.0,8.0,2.0,2.7041499330655956,7.978845608028654,8.272643200907131,3.0901936161855166,13.243441670776848,548,582,853,915,747,5.704149933065596
684,673.0227272727273,873.1060606060606,4.617328839526549,2.9423027326046998,0.6670586341462412,528.0,6.0,2.5,2.75,5.527906391541368,4.3336224206596095,1.5957691216057308,6.840435166640879,664,682,866,883,192,5.75
685,586.1512605042017,885.4789915966387,3.2137568855719367,1.6498409011204869,1.3718296263508245,119.0,3.0,1.0,1.4691358024691359,3.1915382432114616,2.8209479177387813,0.9772050238058398,4.61809077155419,583,590,878,892,81,5.469135802469136
686,973.1254180602007,868.8327759197324,5.963219975488778,2.6030583173314894,1.1983265024256007,598.0,6.0,3.0,3.5808383233532934,6.723094811029982,4.478115991081385,1.7841241161527712,6.627726932618989,964,978,860,879,167,7.580838323353293
687,326.64044758927105,867.1005430311009,9.104214593664974,6.775027083629295,1.0181263026339447,6077.0,22.0,3.0,5.663560111835974,8.07796550300118,7.918778161951929,3.0382538898732494,14.082153922340915,302,350,827,887,1073,9.663560111835974
688,944.2026315789474,884.1657894736842,5.718052537169689,1.899740426031911,0.2553419190165368,380.0,5.0,3.0,2.7142857142857144,4.918490759365935,3.8678889139475245,1.4927053303604616,5.890312181373172,932,953,880,890,140,9.714285714285714
689,768.0421455938697,885.6666666666666,3.2320390666336305,1.9299121777695125,-1.555213178818219,261.0,6.0,2.0,2.25,4.029119531035698,3.141274657157109,1.2615662610100802,4.853342309955121,763,773,880,893,116,6.25
690,290.1301204819277,875.1734939759036,9.648090498270289,5.438802372733687,0.7686556052053214,2905.0,10.0,5.0,4.63317384370016,10.108287365572707,7.938851142601841,3.1915382432114616,12.192240025845548,272,308,863,897,627,7.63317384370016
691,134.6315789473684,883.7332123411978,7.251926364853197,1.8728466176603575,-0.35543137260700797,551.0,10.0,2.0,3.061111111111111,3.523362819972964,3.656366395715726,1.381976597885342,6.257165172872317,124,149,873,889,180,6.061111111111111
692,229.2940379403794,895.8617886178862,7.622841205878656,4.155123468274543,-0.3454214591748292,2214.0,11.0,4.0,4.670886075949367,6.978639737521917,6.817128675830715,2.6462837142006137,10.689866656791414,216,244,886,909,474,7.670886075949367
693,1002.963768115942,895.5253623188406,4.481539283953016,2.658199308316947,1.465866376734793,552.0,6.0,2.0,2.732673267326733,5.527906391541368,4.145929793656026,1.692568750643269,6.6036697681803656,996,1010,883,903,202,6.732673267326732
694,455.14207650273227,885.0765027322404,3.6547387036226904,2.5402582902887176,-1.2124436394001519,366.0,5.0,3.0,2.6911764705882355,4.720348719413148,3.8678889139475245,1.4927053303604616,5.917270272703197,449,461,874,892,136,5.6911764705882355
695,149.9100529100529,890.5238095238095,2.9453599804450317,1.9162508497044497,-0.28181537053353045,378.0,8.0,4.0,3.78,4.029119531035698,2.985410660720923,1.2615662610100802,4.652426491681278,144,157,886,895,100,7.78
696,530.3214285714286,901.2544642857143,7.02131492119127,2.278007545687994,1.5586825856558895,448.0,5.0,1.0,1.6173285198555956,4.787307364817192,4.478115991081385,1.692568750643269,7.2909362219603215,525,539,881,911,277,5.617328519855596
697,86.0403640680649,911.4946576968738,11.156424695897089,8.368644576195324,1.427492118666924,2527.0,8.0,3.0,2.7708333333333335,9.18434101276213,9.25339718068125,3.477898169151024,14.701442538703265,71,111,889,934,912,5.770833333333333
698,472.9026548672566,890.7433628318585,2.3444945102412733,1.569523816486993,0.49446887656989424,113.0,4.0,2.0,2.017857142857143,3.431831258788849,2.393653682408596,0.9772050238058398,3.6996385101659595,469,477,888,895,56,6.017857142857143
699,821.050135501355,893.2425474254743,6.069629734025286,2.5621039656562608,0.5555451551402208,738.0,8.0,3.0,3.1948051948051948,5.4700209598571305,4.652426491681278,1.7841241161527712,7.420755373261929,812,833,884,903,231,7.194805194805195
700,638.7532808398951,880.488188976378,7.6682378983515935,2.2776397046715555,1.5392539386843267,381.0,5.0,1.0,1.370503597122302,4.068428945128219,4.3336224206596095,1.692568750643269,7.269074295019226,633,646,865,898,278,5.370503597122302
701,184.5880672802285,898.0107902253253,12.798542029478673,10.949738114810591,-1.293191358555715,3151.0,8.0,3.0,3.1892712550607287,10.295493776366547,9.901487006738307,3.7846987830302403,15.837556323903858,162,214,877,922,988,6.189271255060729
702,56.313109425785484,909.6814734561214,8.415695607639172,4.293961950156577,-1.1180522949491505,923.0,9.0,2.0,2.563888888888889,4.1073621666150775,5.140011726956917,1.8712051592547776,9.18434101276213,43,65,882,925,360,5.563888888888889
703,259.797373358349,897.953095684803,4.182407499489073,2.9499972641799492,-0.5280556124902225,533.0,6.0,2.0,2.6517412935323383,5.613615477764332,4.296739856991561,1.692568750643269,6.723094811029982,253,273,892,906,201,7.651741293532338
704,856.9655172413793,908.2068965517242,1.6964644802416833,1.3295368350811652,1.3387330586677038,58.0,3.0,1.0,1.183673469387755,2.326213245840639,1.7841241161527712,0.5641895835477563,2.985410660720923,854,861,904,911,49,6.183673469387755
705,940.8631578947368,907.978947368421,2.4226996686038715,1.4051744502410255,-1.1801892830996858,95.0,3.0,2.0,1.7272727272727273,3.431831258788849,2.256758334191025,0.9772050238058398,3.3377905890622728,937,944,903,911,55,8.727272727272727
706,665.5035971223022,904.705035971223,2.4047077639856735,1.6790511526512308,0.23874437241838314,139.0,4.0,2.0,1.7820512820512822,3.742410318509555,2.5231325220201604,0.9772050238058398,3.949327084834294,660,671,901,910,78,5.782051282051282
707,412.4470588235294,910.1294117647059,1.955741533761124,1.3697127857445994,-0.5954219319845464,85.0,4.0,1.0,1.8085106382978724,2.5854414729132054,1.9544100476116797,0.7978845608028654,3.3377905890622728,408,415,906,913,47,10.808510638297872
708,474.7603583426652,919.2620380739082,8.210385057138978,2.7671671689043635,-0.6649899351530737,893.0,6.0,3.0,2.764705882352941,7.653039857325812,5.917270272703197,2.256758334191025,8.95623198216277,463,487,907,931,323,5.764705882352941
709,550.4338624338625,914.3121693121693,3.629890627328342,1.829680724105408,0.8978221349176502,189.0,4.0,2.0,1.8349514563106797,4.370193722368317,3.0901936161855166,1.1283791670955126,4.918490759365935,544,555,907,921,103,5.834951456310679
710,121.89010989010988,911.2197802197802,2.074787406606152,1.6400680141736463,0.13923200047103215,91.0,5.0,1.0,1.4918032786885247,2.0342144725641096,2.0342144725641096,0.7978845608028654,3.385137501286538,116,125,907,915,61,5.491803278688525
711,204.8281690140845,910.1859154929577,3.5758805281218597,2.7603279742679643,-1.2399069421805446,355.0,6.0,2.0,2.5,4.296739856991561,3.523362819972964,1.381976597885342,5.725898905580716,199,211,900,917,142,8.5
712,1006.1785714285714,920.5035714285714,9.462269418849829,4.9321814725194715,0.09643391329977198,840.0,6.0,2.0,1.7758985200845665,5.944106103225343,6.555290583552474,2.326213245840639,10.823032759612019,985,1023,910,933,473,5.775898520084566
713,7.216216216216216,917.0540540540541,4.021554761244504,1.9763108024198495,-0.23630767574944228,296.0,5.0,1.5,1.8974358974358974,4.1841419359420025,3.477898169151024,1.381976597885342,5.698035485213008,0,15,912,923,156,5.897435897435898
714,714.853299017314,900.6899859616284,17.234242421159404,16.160023683337013,0.08358476580713983,4274.0,9.0,3.0,3.7425569176882663,10.045109950630787,10.86705883733894,4.145929793656026,17.12201521945566,686,755,847,926,1142,5.742556917688266
715,750.25,912.41,1.9499526519294323,1.532019795964843,-1.3335022138581416,100.0,4.0,2.0,2.0,3.1915382432114616,2.111004122822376,0.7978845608028654,3.431831258788849,746,753,908,917,50,8.0
716,371.55809293004614,916.490515915552,18.09875980974757,10.732251885891321,-0.11084101981408899,21457.0,27.0,5.0,8.161658425256752,12.463355264843006,13.458020851469092,5.170882945826411,24.351823709127043,327,427,882,941,2629,10.161658425256752
717,105.54285714285714,919.8857142857142,2.225889176443317,1.821706522235391,1.4740557393759774,105.0,4.0,1.0,1.5217391304347827,3.0901936161855166,2.5231325220201604,0.7978845608028654,4.068428945128219,102,109,915,924,69,7.521739130434782
718,446.3098591549296,920.2816901408451,2.0475845370764683,1.8457202982851915,0.4485007290433254,71.0,3.0,1.0,0.8658536585365854,2.256758334191025,2.326213245840639,0.7978845608028654,3.7846987830302403,442,451,914,925,82,4.865853658536586
719,626.5812672176309,915.9889807162534,4.836358085797298,1.9124127154629436,-0.17791158466944723,363.0,7.0,2.0,2.630434782608696,3.5682482323055424,3.1915382432114616,1.2615662610100802,5.232078956954491,612,634,911,920,138,6.630434782608695
720,317.0772357723577,914.4918699186992,2.0339211922108844,1.811609745254876,-1.4293817266260447,246.0,7.0,3.0,3.671641791044776,3.0901936161855166,2.4592453796829674,0.9772050238058398,3.8678889139475245,313,321,910,919,67,6.6716417910447765
721,823.9818059299191,931.3376010781672,7.688297366059485,3.493858174746959,0.009743110999020237,1484.0,9.0,3.0,3.905263157894737,5.970821321441846,5.890312181373172,2.326213245840639,9.607802401865856,806,839,922,939,380,7.905263157894737
722,851.4651162790698,922.3720930232558,2.2845595429971115,0.919024468999753,-1.5258581361434869,43.0,3.0,1.0,1.0238095238095237,1.9544100476116797,1.692568750643269,0.5641895835477563,2.763953195770684,849,853,918,930,42,6.023809523809524
723,947.4025157232704,923.2578616352201,3.250552657364413,1.5913641683916295,-0.9422578566268641,159.0,4.0,2.0,2.2714285714285714,3.9088200952233594,2.5854414729132054,0.9772050238058398,4.029119531035698,944,954,918,929,70,8.271428571428572
724,345.5977011494253,931.816091954023,2.659096665104581,1.754527280294455,-1.492930643523336,174.0,5.0,2.0,2.4166666666666665,3.0901936161855166,2.7057581899030048,0.9772050238058398,4.145929793656026,342,350,926,937,72,9.416666666666666
725,963.7083333333334,935.5729166666666,2.6342224139526884,2.3225195586270577,1.5705154082373949,288.0,6.0,2.0,2.4827586206896552,4.145929793656026,3.141274657157109,1.2615662610100802,4.950743503369154,958,970,930,942,116,6.482758620689655
726,394.86861313868616,938.8540145985402,2.299276602904135,1.776655476807149,-1.5067915518157737,137.0,4.0,2.0,2.283333333333333,3.9088200952233594,2.5231325220201604,0.9772050238058398,3.826519928662906,391,398,935,943,60,5.283333333333333
727,866.7567084078712,942.1932021466905,3.376788368062367,2.869223960264216,-0.2733989567228113,559.0,8.0,3.0,3.3473053892215567,4.652426491681278,3.742410318509555,1.381976597885342,6.154581744998688,859,876,937,950,167,8.347305389221557
728,27.129411764705882,927.8705882352941,9.668155900847818,1.3132551984136962,-1.5408702469076077,255.0,4.0,1.0,1.5088757396449703,4.950743503369154,3.5682482323055424,1.381976597885342,5.808687281605183,23,30,913,943,169,5.508875739644971
